product,date,quantity
1540778130,01-04-2020,20
16456E0320,01-04-2020,2
S5064E0091,01-04-2020,6
S50T4E0080,01-04-2020,1
S7701E0750,01-04-2020,3
1.23E+54,01-04-2020,4
1.24E+14,01-04-2020,16
1263178060,01-04-2020,30
1263178071,01-04-2020,30
17051E0Q21,01-04-2020,3
17051E0Y21,01-04-2020,5
17051E0Y50,01-04-2020,5
17051E0Y50,01-04-2020,5
2.28E+144,01-04-2020,10
4.44E+134,01-04-2020,30
44882E2330,01-04-2020,4
44882E2550,01-04-2020,5
44882E2550,01-04-2020,5
47381E2Y90,01-04-2020,6
51444E0360,01-04-2020,10
S33MNE0141,01-04-2020,6
S4402E0E61,01-04-2020,2
S4403E0211,01-04-2020,10
S4403E0211,01-04-2020,10
S440DE0050,01-04-2020,24
S440HE0741,01-04-2020,10
S440HE0741,01-04-2020,10
S440HE0741,01-04-2020,10
S440HE0741,01-04-2020,10
S440HE0741,01-04-2020,10
S440HE0741,01-04-2020,10
S440HE0741,01-04-2020,10
S440HE0741,01-04-2020,10
S440HE0741,01-04-2020,10
S440JE0T40,01-04-2020,3
S440JE0T40,01-04-2020,3
S440JE0T40,01-04-2020,3
S440JE0T40,01-04-2020,3
S440JE0T40,01-04-2020,3
S440JE0T40,01-04-2020,3
S440JE0X42,01-04-2020,13
S4415E0Y30,01-04-2020,3
S4451E0380,01-04-2020,5
S4701E1460,01-04-2020,8
S4701E1460,01-04-2020,8
S4701E1460,01-04-2020,8
S4701E1460,01-04-2020,8
S4701E1470,01-04-2020,10
S4701E1862,01-04-2020,2
S4701E1C22,01-04-2020,14
S4701E1J90,01-04-2020,15
S4701E1J90,01-04-2020,4
S4702E0B80,01-04-2020,5
S4702E0B80,01-04-2020,5
S4702E0B80,01-04-2020,5
S4702E0B80,01-04-2020,5
S4702E0B80,01-04-2020,5
S4702E0B80,01-04-2020,5
S4702E0B80,01-04-2020,5
S4702E0J61,01-04-2020,6
S4702E0J61,01-04-2020,6
S4702E0J61,01-04-2020,6
S4702E0J61,01-04-2020,6
S4702E0J61,01-04-2020,6
S4702E0J61,01-04-2020,6
S4702E0J81,01-04-2020,30
S4702E0N50,01-04-2020,1
S4711E0P50,01-04-2020,2
S473535590,01-04-2020,1
S473542710,01-04-2020,20
S5023E0350,01-04-2020,2
S5023E0350,01-04-2020,2
S5023E0350,01-04-2020,2
S5023E0350,01-04-2020,2
S5023E0350,01-04-2020,2
S5023E0350,01-04-2020,2
S5023E0350,01-04-2020,2
S5023E0350,01-04-2020,2
21016E0370,01-04-2020,2
23264E0F20,01-04-2020,4
23881E0J30,01-04-2020,20
4645A37020,01-04-2020,2
4.79E+104,01-04-2020,10
5.19E+294,01-04-2020,3
5.19E+294,01-04-2020,3
5.19E+294,01-04-2020,3
5.19E+294,01-04-2020,3
5.19E+294,01-04-2020,3
5.19E+294,01-04-2020,3
51908E0500,01-04-2020,15
51941E0670,01-04-2020,4
51941E0670,01-04-2020,4
55173E0P50,01-04-2020,2
55173E0W10,01-04-2020,10
55173E0W10,01-04-2020,10
55173E0W10,01-04-2020,10
5.85E+234,01-04-2020,14
7.75E+304,01-04-2020,3
7.75E+304,01-04-2020,3
7.75E+304,01-04-2020,3
82702E3N10,01-04-2020,6
82702E4F40,01-04-2020,2
S150481440,01-04-2020,4
S154922820,01-04-2020,1
S160AE0060,01-04-2020,2
S1701E0400,01-04-2020,12
S1701E0400,01-04-2020,12
S1701E0400,01-04-2020,12
S1701E0400,01-04-2020,12
S1701E0400,01-04-2020,12
S1701E0400,01-04-2020,12
S1702E0100,01-04-2020,1
S1702E0310,01-04-2020,6
S1702E0310,01-04-2020,6
S1702E0370,01-04-2020,2
S1704E0541,01-04-2020,4
S1704E0541,01-04-2020,4
S1704E0541,01-04-2020,4
S1704E0541,01-04-2020,4
S1704E0541,01-04-2020,4
S1704E0541,01-04-2020,4
S170AE0430,01-04-2020,2
S170AE0430,01-04-2020,2
S170AE0430,01-04-2020,2
S170AE0430,01-04-2020,2
S170AE0430,01-04-2020,2
S170FE0C71,01-04-2020,4
S170FE0C91,01-04-2020,6
S170FE0L71,01-04-2020,2
S170FE0L71,01-04-2020,2
S170FE0L71,01-04-2020,2
S170FE0L71,01-04-2020,2
S170FE0L71,01-04-2020,2
S170FE0Q00,01-04-2020,1
S170FE1090,01-04-2020,4
S170FE1121,01-04-2020,1
S170FE1221,01-04-2020,2
S170FE1221,01-04-2020,2
S170FE1221,01-04-2020,2
S170FE1221,01-04-2020,2
S170FE1221,01-04-2020,2
S170FE1221,01-04-2020,2
S170FE1221,01-04-2020,2
S170FE1221,01-04-2020,2
S171364090,01-04-2020,20
S171364090,01-04-2020,90
17455E1J60,01-04-2020,1
17455E1J60,01-04-2020,1
17505E0470,01-04-2020,72
17505E0490,01-04-2020,32
1757278510,01-04-2020,1
1757278510,01-04-2020,1
1757278530,01-04-2020,4
1757478200,01-04-2020,2
1757478220,01-04-2020,2
1757478220,01-04-2020,2
1757478220,01-04-2020,4
1757478220,01-04-2020,2
1757478220,01-04-2020,2
21806E0W00,01-04-2020,15
3.29E+204,01-04-2020,2
3.29E+224,01-04-2020,1
S1205E0710,01-04-2020,10
S799911190,01-04-2020,50
S799961970,01-04-2020,10
S827511430,01-04-2020,200
S827511430,01-04-2020,400
S8901E0550,01-04-2020,2
1.55E+154,01-04-2020,4
1.55E+154,01-04-2020,4
1.65E+274,01-04-2020,10
1.65E+274,01-04-2020,10
1.65E+274,01-04-2020,10
1.65E+274,01-04-2020,10
1.65E+274,01-04-2020,10
1.65E+274,01-04-2020,10
16457E0320,01-04-2020,10
16457E0320,01-04-2020,10
16457E0320,01-04-2020,10
16457E0320,01-04-2020,10
16457E0320,01-04-2020,10
16457E0320,01-04-2020,10
16457E0320,01-04-2020,10
8943937380,01-04-2020,2
S520SE0070,01-04-2020,6
1.23E+204,01-04-2020,3
1.23E+24,01-04-2020,12
1.23E+24,01-04-2020,5
1.25E+24,01-04-2020,15
1263178080,01-04-2020,30
16705E0710,01-04-2020,30
16715E0E00,01-04-2020,6
16715E0E00,01-04-2020,6
16715E0E00,01-04-2020,6
16715E0E00,01-04-2020,6
17051E0Y11,01-04-2020,3
17051E0Y11,01-04-2020,3
17051E0Z30,01-04-2020,6
17051E1131,01-04-2020,7
17051E1131,01-04-2020,7
26332E0830,01-04-2020,2
26332E0830,01-04-2020,2
26332E0830,01-04-2020,2
26332E0830,01-04-2020,2
26332E0830,01-04-2020,2
44882E1W81,01-04-2020,2
44882E1W91,01-04-2020,2
44882E2P40,01-04-2020,3
44882E2P40,01-04-2020,3
44882E2P40,01-04-2020,3
47381E1U30,01-04-2020,6
5.10E+74,01-04-2020,4
5.12E+25,01-04-2020,100
5.12E+25,01-04-2020,10
5.14E+254,01-04-2020,10
6.12E+164,01-04-2020,3
87208E0E21,01-04-2020,16
S2904E0533,01-04-2020,6
S33MNE0151,01-04-2020,140
S33MNE0151,01-04-2020,20
S4402E0C31,01-04-2020,4
S4402E0C31,01-04-2020,2
S4402E0C31,01-04-2020,4
S4402E0C31,01-04-2020,2
S4402E0C31,01-04-2020,4
S4402E0C31,01-04-2020,2
S4402E0C31,01-04-2020,4
S4402E0C31,01-04-2020,2
S4402E0C31,01-04-2020,2
S4402E0C31,01-04-2020,2
S4402E0C31,01-04-2020,4
S4403E0110,01-04-2020,1
S4403E0230,01-04-2020,5
S4409E0D50,01-04-2020,4
S4409E0D50,01-04-2020,4
S440JE0S10,01-04-2020,10
S440JE0S10,01-04-2020,10
S440JE0S10,01-04-2020,10
S440JE1061,01-04-2020,6
S440JE1061,01-04-2020,6
S440JE1061,01-04-2020,6
S440JE1090,01-04-2020,3
S440JE1090,01-04-2020,3
S440JE1090,01-04-2020,3
S440JE1090,01-04-2020,3
S440JE1090,01-04-2020,3
S4431E0Y80,01-04-2020,5
S4452E0450,01-04-2020,4
S4452E0450,01-04-2020,4
S4701E0S90,01-04-2020,10
S4701E0T70,01-04-2020,1
S4701E0T70,01-04-2020,1
S4701E1480,01-04-2020,10
S4701E1C50,01-04-2020,7
S4701E1J80,01-04-2020,4
S4702E0J42,01-04-2020,8
S4702E0J42,01-04-2020,8
S4702E0J42,01-04-2020,8
S4702E0R60,01-04-2020,10
S4712E0R61,01-04-2020,30
S4712E1221,01-04-2020,12
S4712E1D70,01-04-2020,6
S4712E1D70,01-04-2020,6
S4712E1D70,01-04-2020,6
S4712E1D90,01-04-2020,8
S4712E1D90,01-04-2020,8
S5025E0200,01-04-2020,1
21016E0361,01-04-2020,2
2.32E+94,01-04-2020,48
46453E0570,01-04-2020,4
5.17E+114,01-04-2020,2
5517337670,01-04-2020,3
5.85E+254,01-04-2020,5
7.75E+114,01-04-2020,1
7.75E+114,01-04-2020,1
7.75E+114,01-04-2020,1
7.75E+114,01-04-2020,1
7.75E+114,01-04-2020,1
82702E3680,01-04-2020,30
