,product,freq
697,S4402E0C31,11297
1286,S1705E0050,11181
1513,S1703E0291,10606
377,5.19E+294,9469
1285,S1702E0240,7599
46,17455E0790,7483
900,5.12E+255,7347
671,S170FE0600,7307
1552,S4702E0J61,6903
1075,5.49E+84,6736
1238,44882E1X21,6635
13,1.25E+44,6584
1340,1.65E+274,6195
901,5.12E+265,6140
39,1.79E+44,5889
1061,26332E0591,5846
1796,S440HE0741,5754
1236,44882E2330,5690
1237,44882E2320,5681
1341,16457E0320,5207
1808,S4702E0B80,4882
1130,S170FE0D22,4844
4,S171364090,4800
72,1.77E+84,4706
26,S123811080,4680
1293,S1701E0400,4607
9,S163771690,4512
228,S170FE0180,4431
1298,S1705E0150,4318
67,S4702E0561,4314
1500,S1703E0341,4300
7,2.32E+94,4168
24,S114091570,4149
1813,S170FE1221,4063
1287,21806E0P70,4033
1289,S4701E1460,3966
1745,S5025E0190,3893
669,S5022E0160,3886
1744,S5024E0280,3878
670,S5023E0260,3870
1756,S5023E0350,3858
1743,S5022E0330,3856
87,S3306E0401,3849
1346,7.75E+244,3820
1355,S4701E1B20,3804
873,47381E1Q40,3764
203,S1702E0110,3710
41,17051E0550,3561
10,1.23E+24,3550
70,17051E0540,3547
51,7.51E+45,3474
1492,S1704E0541,3456
908,5.12E+15,3430
125,1.24E+14,3388
11,1.25E+24,3381
102,S123011530,3371
32,1.76E+34,3364
1531,17051E0Y11,3304
1546,S4702E0P70,3294
21,S167122770,3277
63,S50U3E0091,3276
968,5.11E+14,3263
855,S440JE0F41,3228
1347,S170FE0N10,3226
98,S1205E0350,3158
1331,44882E2550,3080
50,17051E0720,3021
1749,S440JE1090,2994
701,S4403E0062,2992
199,S1703E0020,2955
232,S170FE0091,2920
33,1.77E+74,2916
1740,S440JE1020,2905
1483,21806E0V90,2898
85,1.79E+34,2844
220,S170FE0072,2828
136,1.54E+274,2802
1373,16715E0E00,2777
1337,7.75E+304,2759
48,17505E0470,2732
862,S4702E0C30,2679
58,17564E0390,2677
49,17505E0490,2670
1548,17051E0Y21,2603
404,7.75E+45,2588
1755,S440JE0T40,2577
92,S170FE0200,2551
883,5.12E+25,2528
90,S4702E0600,2526
1051,4.44E+144,2519
449,S1205E0431,2516
206,S170FE0063,2513
702,S4403E0072,2482
1,S120171810,2477
378,S1702E0100,2472
339,87208E0C40,2468
246,S170FE0271,2460
45,1.76E+74,2452
